date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-01-09T23:03:21.400509,Andy Street,,12350479,,,,,,,,,,,,
2017-01-09T23:03:21.400509,Sion Simon,,12350480,,,,,,,,,,,,
2017-01-09T23:03:21.400509,Beverley Nielsen,,12350481,,,,,,,,,,,,
2017-01-09T23:03:21.400509,James Burn,,12350482,,,,,,,,,,,,
2017-01-10T11:03:20.898905,Andy Street,,12350479,1.2,,,1.7,,,114.75,,,229.5,,
2017-01-10T11:03:20.898905,Sion Simon,,12350480,,,,,,,,,,,,
2017-01-10T11:03:20.898905,Beverley Nielsen,,12350481,,,,,,,,,,,,
2017-01-10T11:03:20.898905,James Burn,,12350482,,,,,,,,,,,,
2017-01-10T23:03:22.382527,Andy Street,,12350479,1.2,,,1.7,,,115.33,,,230.66,,
2017-01-10T23:03:22.382527,Sion Simon,,12350480,,,,,,,,,,,,
2017-01-10T23:03:22.382527,Beverley Nielsen,,12350481,,,,,,,,,,,,
2017-01-10T23:03:22.382527,James Burn,,12350482,,,,,,,,,,,,
