date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-04-23T22:06:18.282657,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,0.0,False,False,1628470227,OPEN
2017-04-24T10:06:03.516685,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,0.0,False,False,1628470227,OPEN
2017-04-24T22:06:03.440067,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,23.553771,False,False,1628470227,OPEN
2017-04-25T10:06:07.414949,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,35.315768000000006,False,False,1628470227,OPEN
2017-04-25T22:06:00.502615,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,35.246745000000004,False,False,1628470227,OPEN
2017-04-26T10:06:04.263047,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,35.315768000000006,False,False,1628470227,OPEN
2017-04-26T22:06:03.950807,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,35.357555999999995,False,False,1628470227,OPEN
2017-04-27T10:06:13.670834,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,35.522999999999996,False,False,1628470227,OPEN
2017-04-28T10:06:52.873879,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,35.487,False,False,1628470227,OPEN
2017-04-28T22:06:46.481239,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,154.47899999999998,False,False,1632381420,OPEN
2017-04-29T10:06:59.637177,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,154.47899999999998,False,False,1632381420,OPEN
2017-04-29T22:06:47.640240,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,153.855,False,False,1632381420,OPEN
2017-04-30T10:06:54.335741,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,154.544,False,False,1632381420,OPEN
2017-04-30T22:06:47.484167,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,154.349,False,False,1632381420,OPEN
2017-05-01T10:06:51.272106,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,154.245,False,False,1632381420,OPEN
2017-05-01T22:06:55.164032,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,153.69899999999998,False,False,1632381420,OPEN
2017-05-02T10:06:47.016120,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,153.673,False,False,1632381420,OPEN
2017-05-02T22:06:47.212432,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,153.894,False,False,1632381420,OPEN
2017-05-03T10:06:51.924572,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,153.868,False,False,1632381420,OPEN
2017-05-03T22:07:10.592040,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,153.69782199999997,False,False,1632381420,OPEN
2017-05-04T10:06:55.535192,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,94.395798,False,False,1632381420,OPEN
2017-05-04T22:07:25.812305,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.61976800000001,False,False,1639096129,OPEN
2017-05-05T10:06:59.124353,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.82380199999999,False,False,1639096129,OPEN
2017-05-05T22:06:55.381826,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.835804,False,False,1639096129,OPEN
2017-05-06T10:06:55.454337,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.835804,False,False,1639096129,OPEN
2017-05-06T22:07:00.756252,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.835804,False,False,1639096129,OPEN
2017-05-07T10:07:05.364511,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.835804,False,False,1639096129,OPEN
2017-05-07T22:09:11.700008,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,70.745789,False,False,1639096129,OPEN
2017-05-08T10:06:56.521968,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,71.14785599999999,False,False,1639096129,OPEN
2017-05-08T22:06:55.281191,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,82.947848,False,False,1639096129,OPEN
2017-05-09T10:06:57.853118,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,82.989854,False,False,1639096129,OPEN
2017-05-09T22:06:54.786913,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,83.28389599999998,False,False,1639096129,OPEN
2017-05-10T10:07:10.848956,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,,0.0,83.42391599999999,False,False,1639096129,OPEN
2017-05-10T22:07:16.296634,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7604,107.12090099999999,False,False,1639096129,OPEN
2017-05-11T10:07:00.132471,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7556,107.012889,False,False,1639096129,OPEN
2017-05-11T22:09:06.468839,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7464,166.135866,False,False,1639096129,OPEN
2017-05-12T10:07:05.760972,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7304,165.575826,False,False,1639096129,OPEN
2017-05-12T22:06:59.016460,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7156,182.741289,False,False,1639096129,OPEN
2017-05-13T10:07:04.104135,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7156,182.741289,False,False,1639096129,OPEN
2017-05-13T22:07:08.237041,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7156,182.741289,False,False,1639096129,OPEN
2017-05-14T10:07:04.056634,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7168,182.787792,False,False,1639096129,OPEN
2017-05-14T22:06:58.092578,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7164,187.488691,False,False,1639096129,OPEN
2017-05-15T10:06:57.926289,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.7208,187.66360199999997,False,False,1639096129,OPEN
2017-05-15T22:07:07.188760,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.6996,179.7597,False,False,1639096129,OPEN
2017-05-16T10:06:59.229018,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.6664,178.4898,False,False,1639096129,OPEN
2017-05-16T22:07:02.819812,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.662,168.9975,False,False,1639096129,OPEN
2017-05-17T10:06:58.803993,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-10T21:00:04.050Z,4.6664,169.157,False,False,1639096129,OPEN
2017-05-17T22:07:52.157806,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-17T11:08:59.746Z,13.947600000000001,163.88430000000002,False,False,1639096129,OPEN
2017-05-18T10:07:04.874625,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-17T11:08:59.746Z,14.071200000000001,165.3366,False,False,1639096129,OPEN
2017-05-18T22:07:05.101082,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-17T11:08:59.746Z,13.988399999999999,164.3637,False,False,1639096129,OPEN
2017-05-19T10:07:09.658688,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-17T11:08:59.746Z,13.9908,164.3919,False,False,1639096129,OPEN
2017-05-19T22:06:59.834484,2017-06-08T06:01:49.000Z,0,False,False,False,1,6,6,2017-05-17T11:08:59.746Z,13.9596,164.0253,False,False,1639096129,OPEN
