date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-04-28T22:07:07.351326,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,994.7734619999999,False,False,1632051206,OPEN
2017-04-29T10:07:17.149242,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,,0.0,994.7734619999999,False,False,1632051206,OPEN
2017-04-29T22:07:04.623092,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.468,937.911915,False,False,1632051206,OPEN
2017-04-30T10:07:12.888493,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.5104,942.112112,False,False,1632051206,OPEN
2017-04-30T22:07:04.429157,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.4984,940.9233770000001,False,False,1632051206,OPEN
2017-05-01T10:07:07.788148,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.492,940.2893850000002,False,False,1632051206,OPEN
2017-05-01T22:07:13.720486,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.4584,936.960927,False,False,1632051206,OPEN
2017-05-02T10:07:03.968477,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.4568,936.8142499999999,False,False,1632051206,OPEN
2017-05-02T22:07:04.092284,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.4704,864.174,False,False,1632051206,OPEN
2017-05-03T10:07:08.676521,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.4688,864.016164,False,False,1632051206,OPEN
2017-05-03T22:07:29.268391,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.281Z,9.4576,862.9941779999999,False,False,1632051206,OPEN
2017-05-04T10:07:12.882054,2017-06-08T06:00:00.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.000Z,9.4384,861.242202,False,False,1632051206,OPEN
2017-05-04T22:07:43.990618,2017-06-08T06:01:51.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.000Z,9.4144,0.0,False,False,1639096121,OPEN
2017-05-05T10:07:15.996287,2017-06-08T06:01:51.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.000Z,9.4416,837.9301979999999,False,False,1639096121,OPEN
2017-05-05T22:07:12.324108,2017-06-08T06:01:51.000Z,0,False,False,False,1,6,6,2017-04-29T11:28:41.000Z,9.4432,861.6801959999999,False,False,1639096121,OPEN
