date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-04-28T10:08:12.999264,Conservative,,1111885,,,,,,,,,,,,
2017-04-28T10:08:12.999264,Labour,,1111884,,,,,,,,,,,,
2017-04-28T10:08:12.999264,UKIP,,3614201,,,,,,,,,,,,
2017-04-28T10:08:12.999264,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-28T10:08:12.999264,Green,,2938887,,,,,,,,,,,,
2017-04-28T22:08:17.749126,Conservative,,1111885,1.01,,,,,,475.32,,,,,
2017-04-28T22:08:17.749126,Labour,,1111884,13.5,11.0,,,,,11.88,11.88,,,,
2017-04-28T22:08:17.749126,UKIP,,3614201,34.0,,,,,,11.88,,,,,
2017-04-28T22:08:17.749126,Liberal Democrat,,2938886,65.0,,,,,,11.88,,,,,
2017-04-28T22:08:17.749126,Green,,2938887,65.0,,,,,,11.88,,,,,
2017-04-29T10:08:29.985895,Conservative,,1111885,1.01,,,,,,475.32,,,,,
2017-04-29T10:08:29.985895,Labour,,1111884,13.5,11.0,,,,,11.88,11.88,,,,
2017-04-29T10:08:29.985895,UKIP,,3614201,34.0,,,,,,11.88,,,,,
2017-04-29T10:08:29.985895,Liberal Democrat,,2938886,65.0,,,,,,11.88,,,,,
2017-04-29T10:08:29.985895,Green,,2938887,65.0,,,,,,11.88,,,,,
