date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-04-21T22:04:28.052915,Conservative,,1111885,,,,,,,,,,,,
2017-04-21T22:04:28.052915,Labour,,1111884,,,,,,,,,,,,
2017-04-21T22:04:28.052915,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-21T22:04:28.052915,UKIP,,3614201,,,,,,,,,,,,
2017-04-21T22:04:28.052915,Green,,2938887,,,,,,,,,,,,
2017-04-22T10:04:25.150539,Conservative,,1111885,,,,,,,,,,,,
2017-04-22T10:04:25.150539,Labour,,1111884,,,,,,,,,,,,
2017-04-22T10:04:25.150539,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-22T10:04:25.150539,UKIP,,3614201,,,,,,,,,,,,
2017-04-22T10:04:25.150539,Green,,2938887,,,,,,,,,,,,
2017-04-22T22:04:18.156503,Conservative,,1111885,,,,,,,,,,,,
2017-04-22T22:04:18.156503,Labour,,1111884,,,,,,,,,,,,
2017-04-22T22:04:18.156503,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-22T22:04:18.156503,UKIP,,3614201,,,,,,,,,,,,
2017-04-22T22:04:18.156503,Green,,2938887,,,,,,,,,,,,
2017-04-23T10:04:17.968732,Conservative,,1111885,,,,,,,,,,,,
2017-04-23T10:04:17.968732,Labour,,1111884,,,,,,,,,,,,
2017-04-23T10:04:17.968732,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-23T10:04:17.968732,UKIP,,3614201,,,,,,,,,,,,
2017-04-23T10:04:17.968732,Green,,2938887,,,,,,,,,,,,
2017-04-23T22:04:31.374967,Conservative,,1111885,,,,,,,,,,,,
2017-04-23T22:04:31.374967,Labour,,1111884,,,,,,,,,,,,
2017-04-23T22:04:31.374967,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-23T22:04:31.374967,UKIP,,3614201,,,,,,,,,,,,
2017-04-23T22:04:31.374967,Green,,2938887,,,,,,,,,,,,
2017-04-24T10:04:27.543531,Conservative,,1111885,,,,,,,,,,,,
2017-04-24T10:04:27.543531,Labour,,1111884,,,,,,,,,,,,
2017-04-24T10:04:27.543531,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-24T10:04:27.543531,UKIP,,3614201,,,,,,,,,,,,
2017-04-24T10:04:27.543531,Green,,2938887,,,,,,,,,,,,
2017-04-24T22:04:26.767077,Conservative,,1111885,,,,,,,,,,,,
2017-04-24T22:04:26.767077,Labour,,1111884,,,,,,,,,,,,
2017-04-24T22:04:26.767077,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-24T22:04:26.767077,UKIP,,3614201,,,,,,,,,,,,
2017-04-24T22:04:26.767077,Green,,2938887,,,,,,,,,,,,
2017-04-25T10:04:28.554572,Conservative,,1111885,,,,,,,,,,,,
2017-04-25T10:04:28.554572,Labour,,1111884,,,,,,,,,,,,
2017-04-25T10:04:28.554572,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-25T10:04:28.554572,UKIP,,3614201,,,,,,,,,,,,
2017-04-25T10:04:28.554572,Green,,2938887,,,,,,,,,,,,
2017-04-25T22:04:25.452177,Conservative,,1111885,,,,,,,,,,,,
2017-04-25T22:04:25.452177,Labour,,1111884,,,,,,,,,,,,
2017-04-25T22:04:25.452177,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-25T22:04:25.452177,UKIP,,3614201,,,,,,,,,,,,
2017-04-25T22:04:25.452177,Green,,2938887,,,,,,,,,,,,
2017-04-26T10:04:27.830556,Conservative,,1111885,,,,,,,,,,,,
2017-04-26T10:04:27.830556,Labour,,1111884,,,,,,,,,,,,
2017-04-26T10:04:27.830556,Liberal Democrat,,2938886,,,,,,,,,,,,
2017-04-26T10:04:27.830556,UKIP,,3614201,,,,,,,,,,,,
2017-04-26T10:04:27.830556,Green,,2938887,,,,,,,,,,,,
