date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-04-28T22:05:29.795330,Under 399.5 Seats,,12959060,1.2,,,,,,59.41,,,,,
2017-04-28T22:05:29.795330,Over 399.5 Seats,,12959062,2.02,,,4.0,5.0,,263.8,,,118.83,11.88,
2017-04-29T10:05:41.139816,Under 399.5 Seats,,12959060,1.25,1.2,,1.99,,,59.41,59.41,,267.78,,
2017-04-29T10:05:41.139816,Over 399.5 Seats,,12959062,2.02,,,5.0,6.0,,263.8,,,14.85,11.88,
2017-04-29T22:05:31.320222,Under 399.5 Seats,1.71,12959060,1.66,1.5,1.33,1.99,,,17.96,23.67,35.59,266.7,,
2017-04-29T22:05:31.320222,Over 399.5 Seats,2.4,12959062,2.02,,,2.5,3.0,4.0,262.74,,,11.93,11.84,11.84
2017-04-30T10:05:32.868108,Under 399.5 Seats,1.71,12959060,1.66,1.5,1.33,1.99,,,18.04,23.78,35.75,267.89,,
2017-04-30T10:05:32.868108,Over 399.5 Seats,2.4,12959062,2.02,,,2.5,3.0,4.0,263.91,,,11.98,11.89,11.89
2017-04-30T22:05:32.372116,Under 399.5 Seats,1.5,12959060,1.5,1.33,1.25,1.7,1.9,1.99,11.87,35.71,11.87,32.09,11.87,267.55
2017-04-30T22:05:32.372116,Over 399.5 Seats,3.0,12959062,2.42,2.02,,4.0,5.0,,22.48,273.43,,17.81,2.97,
2017-05-01T10:05:34.076261,Under 399.5 Seats,1.33,12959060,1.33,1.25,,1.5,1.65,1.67,33.29,11.87,,58.14,30.38,142.0
2017-05-01T10:05:34.076261,Over 399.5 Seats,4.0,12959062,3.0,2.52,2.5,5.0,,,29.0,23.29,91.36,14.04,,
