date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-04-23T22:05:56.231358,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1628450609,OPEN
2017-04-24T10:05:44.905190,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1628450609,OPEN
2017-04-24T22:05:43.905125,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1629145180,OPEN
2017-04-25T10:05:47.455603,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1629145180,OPEN
2017-04-25T22:05:41.932406,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1629145180,OPEN
2017-04-26T10:05:43.970556,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011768,False,False,1629145180,OPEN
2017-04-26T22:05:43.751406,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011778,False,False,1629145180,OPEN
2017-04-27T10:04:19.646186,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1631358408,OPEN
