date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-01-26T23:03:46.028035,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541783999,OPEN
2017-01-27T11:03:41.995107,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-27T23:03:45.231917,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-28T11:03:40.320915,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-28T23:03:45.751842,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-29T11:03:41.525182,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-29T23:03:46.141825,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-30T11:03:40.063373,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-30T23:03:49.269209,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-31T11:03:40.235640,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-01-31T23:03:46.960012,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-02-01T11:03:45.007193,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-02-01T23:03:45.481268,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-02-02T11:03:39.154393,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-02-02T23:03:45.170154,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-02-03T11:03:43.733845,2017-02-03T18:30:00.000Z,0,False,True,False,0,30,30,,0.0,0.0,False,False,1541965476,OPEN
2017-02-03T23:03:45.478900,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,,0.0,0.0,False,False,1548101123,OPEN
2017-02-04T11:03:39.149452,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,,0.0,2.988171177308478,False,False,1548101123,OPEN
2017-02-04T23:03:45.114251,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,,0.0,3.0027673371607944,False,False,1548101123,OPEN
2017-02-05T11:03:40.711934,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,,0.0,2.9876487111698613,False,False,1548101123,OPEN
2017-02-05T23:03:44.063037,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,2017-02-05T17:15:55.739Z,5.97202189195941,0.0,False,False,1548101123,OPEN
2017-02-06T11:03:39.113443,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,2017-02-05T17:15:55.739Z,6.002524965263573,0.0,False,False,1548101123,OPEN
2017-02-06T23:03:54.160328,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,2017-02-05T17:15:55.739Z,5.990680808394067,0.0,False,False,1548101123,OPEN
2017-02-07T11:03:40.300730,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,2017-02-05T17:15:55.739Z,6.016717261270652,0.0,False,False,1548101123,OPEN
2017-02-07T23:03:46.920117,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,2017-02-05T17:15:55.739Z,6.038355626420499,0.0,False,False,1548101123,OPEN
2017-02-08T11:03:37.995730,2017-02-03T18:30:00.000Z,1,False,True,True,0,30,30,2017-02-05T17:15:55.739Z,6.053472441029977,0.0,False,False,1548101123,OPEN
