date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-05-15T22:05:47.484531,Under 10.5 Seats,,1250704,,,,,,,,,,,,
2017-05-15T22:05:47.484531,Over 10.5 Seats,,1250705,,,,,,,,,,,,
2017-05-16T10:05:40.980543,Under 10.5 Seats,,1250704,2.0,,,5.0,,,29.17,,,11.67,,
2017-05-16T10:05:40.980543,Over 10.5 Seats,,1250705,,,,,,,,,,,,
2017-05-16T22:05:40.845198,Under 10.5 Seats,,1250704,2.0,,,4.5,5.0,11.0,29.14,,,78.48,11.66,11.66
2017-05-16T22:05:40.845198,Over 10.5 Seats,,1250705,1.29,1.28,1.25,2.0,,,233.1,40.97,46.62,29.14,,
2017-05-17T10:05:41.332533,Under 10.5 Seats,,1250704,2.0,,,4.0,4.4,4.5,377.4,,,116.66,11.67,78.55
2017-05-17T10:05:41.332533,Over 10.5 Seats,,1250705,1.33,1.29,1.28,1.99,2.0,,350.86,273.11,41.01,349.98,29.17,
2017-05-17T22:06:17.220107,Under 10.5 Seats,,1250704,2.0,,,3.95,4.0,4.5,376.0,,,11.62,116.23,11.62
2017-05-17T22:06:17.220107,Over 10.5 Seats,,1250705,1.33,1.28,1.1,1.99,2.0,,384.08,40.86,116.23,348.69,29.06,
2017-05-18T10:05:45.225178,Under 10.5 Seats,,1250704,2.0,,,3.95,4.0,4.5,379.34,,,11.73,117.26,11.73
2017-05-18T10:05:45.225178,Over 10.5 Seats,,1250705,1.33,1.28,1.1,1.99,2.0,,387.49,41.22,117.26,351.78,29.32,
2017-05-18T22:05:43.376907,Under 10.5 Seats,3.9,1250704,2.0,,,4.5,11.0,,382.82,,,11.66,11.66,
2017-05-18T22:05:43.376907,Over 10.5 Seats,1.34,1250705,1.28,1.1,,1.99,2.0,,40.98,116.57,,355.54,29.14,
2017-05-19T10:05:43.916837,Under 10.5 Seats,3.9,1250704,2.02,2.0,,4.5,11.0,,233.12,29.15,,11.66,11.66,
2017-05-19T10:05:43.916837,Over 10.5 Seats,1.34,1250705,1.28,1.1,,1.97,2.0,,40.99,116.59,,233.18,34.98,
2017-05-19T22:05:40.621929,Under 10.5 Seats,2.2,1250704,2.04,2.02,,4.5,6.0,11.0,17.22,226.9,,28.93,232.66,11.63
2017-05-19T22:05:40.621929,Over 10.5 Seats,1.34,1250705,1.29,1.28,1.2,1.84,1.97,,60.27,40.9,1163.3,13.91,238.48,
2017-05-20T10:05:39.289038,Under 10.5 Seats,2.2,1250704,2.2,2.04,,3.5,4.5,6.0,108.4,5.59,,11.63,17.29,232.66
2017-05-20T10:05:39.289038,Over 10.5 Seats,1.34,1250705,1.4,1.29,1.2,1.83,1.84,1.96,29.08,60.27,1163.3,116.33,13.91,5.82
2017-05-20T22:05:39.097703,Under 10.5 Seats,2.2,1250704,2.2,2.04,,3.45,3.5,6.0,85.27,5.6,,23.81,11.65,233.04
2017-05-20T22:05:39.097703,Over 10.5 Seats,1.83,1250705,1.41,1.4,1.2,1.83,1.96,,58.26,29.13,1165.2,102.51,5.83,
2017-05-21T10:05:54.421734,Under 10.5 Seats,2.2,1250704,2.2,2.04,,3.45,3.5,6.0,85.13,5.59,,23.77,11.63,232.66
2017-05-21T10:05:54.421734,Over 10.5 Seats,1.83,1250705,1.41,1.4,1.2,1.83,1.96,,58.17,29.08,1163.3,102.35,5.82,
2017-05-21T22:05:39.661649,Under 10.5 Seats,2.2,1250704,2.04,,,3.45,3.5,6.0,103.33,,,23.75,11.62,232.46
2017-05-21T22:05:39.661649,Over 10.5 Seats,1.83,1250705,1.41,1.4,1.2,1.95,1.96,,58.12,29.06,1162.3,102.26,5.81,
2017-05-22T10:05:40.934074,Under 10.5 Seats,2.2,1250704,2.2,2.04,,3.45,3.5,6.0,31.1,103.14,,31.87,11.6,232.02
2017-05-22T10:05:40.934074,Over 10.5 Seats,1.83,1250705,1.42,1.41,1.4,1.84,1.95,900.0,19.5,58.01,29.0,37.24,102.07,9.13
2017-05-22T22:05:39.817853,Under 10.5 Seats,2.2,1250704,2.2,2.04,1.02,3.5,6.0,,31.01,97.27,283.48,19.71,231.32,
2017-05-22T22:05:39.817853,Over 10.5 Seats,1.83,1250705,1.42,1.4,1.2,1.84,1.95,900.0,19.45,28.92,1156.6,37.13,101.76,9.11
2017-05-23T10:05:47.474506,Under 10.5 Seats,2.2,1250704,2.22,2.2,1.02,4.0,6.0,,84.89,28.85,282.89,19.51,230.84,
2017-05-23T10:05:47.474506,Over 10.5 Seats,1.83,1250705,1.41,1.33,1.2,1.81,1.84,900.0,19.41,34.71,1154.2,101.55,37.06,9.1
2017-05-23T22:05:43.343078,Under 10.5 Seats,2.2,1250704,2.32,2.2,1.02,3.5,5.1,6.0,17.48,127.46,284.02,11.98,358.55,231.76
2017-05-23T22:05:43.343078,Over 10.5 Seats,1.41,1250705,1.4,1.3,1.24,1.75,1.83,1.84,29.92,36.86,1429.81,23.18,118.44,34.64
2017-05-24T10:05:40.154304,Under 10.5 Seats,2.2,1250704,2.38,2.36,2.34,3.45,3.5,5.1,83.96,19.13,29.05,15.51,11.62,348.54
2017-05-24T10:05:40.154304,Over 10.5 Seats,1.41,1250705,1.41,1.4,1.24,1.72,1.73,1.75,37.91,29.05,1433.51,116.18,23.24,41.69
2017-05-24T22:05:43.285905,Under 10.5 Seats,2.2,1250704,2.38,2.36,2.34,3.45,3.5,5.1,87.06,19.06,28.92,15.45,11.57,346.98
2017-05-24T22:05:43.285905,Over 10.5 Seats,1.5,1250705,1.41,1.4,1.24,1.72,1.73,1.75,37.75,28.92,1427.1,120.85,23.13,41.51
2017-05-25T10:06:04.394031,Under 10.5 Seats,2.2,1250704,2.38,2.36,2.34,3.45,3.5,5.1,86.87,19.02,28.85,15.41,11.54,346.23
2017-05-25T10:06:04.394031,Over 10.5 Seats,1.5,1250705,1.41,1.4,1.24,1.72,1.73,1.75,37.67,28.85,1424.01,120.59,23.08,41.43
2017-05-25T22:05:44.594000,Under 10.5 Seats,2.34,1250704,2.1,1.8,,3.45,3.5,5.1,359.4,34.63,,19.25,11.54,346.26
2017-05-25T22:05:44.594000,Over 10.5 Seats,1.73,1250705,1.41,1.4,1.24,1.9,2.26,900.0,46.49,28.85,1424.13,397.28,27.58,3.32
