date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-04-21T22:04:02.055359,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1625329456,OPEN
2017-04-22T10:04:02.198863,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1625329456,OPEN
2017-04-22T22:03:56.832912,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1625329456,OPEN
2017-04-23T10:03:55.371213,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1625329456,OPEN
2017-04-23T22:04:08.980891,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1625329456,OPEN
2017-04-24T10:04:05.780790,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1625329456,OPEN
2017-04-24T22:04:04.991867,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011771,False,False,1629145012,OPEN
2017-04-25T10:04:05.508157,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011768,False,False,1629145012,OPEN
2017-04-25T22:04:03.746662,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011745000000000002,False,False,1629145012,OPEN
2017-04-26T10:04:05.700414,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011768,False,False,1629145012,OPEN
2017-04-26T22:04:04.082120,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.011778,False,False,1629145012,OPEN
2017-04-27T10:03:25.743416,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,0.0,False,False,1631358230,OPEN
2017-04-27T22:03:28.659303,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,344.172,True,False,1631358230,OPEN
2017-04-28T10:03:27.830711,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,343.041,True,False,1631358230,OPEN
2017-04-28T22:03:27.908808,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,344.60699999999997,True,False,1632034509,OPEN
2017-04-29T10:03:32.230463,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,344.60699999999997,True,False,1632034509,OPEN
2017-04-29T22:03:26.184449,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,353.4175862068966,True,False,1634054250,OPEN
2017-04-30T10:03:25.848429,2017-06-08T06:00:00.000Z,0,False,True,False,1,5,5,,0.0,355.00027586206903,True,False,1634054250,OPEN
2017-04-30T22:03:26.568321,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,354.55234482758624,True,False,1635992729,OPEN
2017-05-01T10:03:26.892008,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,354.31344827586213,True,False,1635992729,OPEN
2017-05-01T22:03:27.001286,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,353.0592413793103,True,False,1635992729,OPEN
2017-05-02T10:03:26.026406,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,353.0113382413793,True,False,1635992729,OPEN
2017-05-02T22:03:26.052260,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,353.5190104137931,True,False,1635992729,OPEN
2017-05-03T10:03:26.363976,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,353.4474482758621,True,False,1635992729,OPEN
2017-05-03T22:03:27.792370,2017-06-08T06:03:00.000Z,0,False,False,False,1,5,5,,0.0,353.04120131034483,True,False,1638692130,OPEN
2017-05-04T10:03:26.184444,2017-06-08T06:01:09.000Z,0,False,False,False,1,5,5,,0.0,352.32448765517245,True,False,1638963923,OPEN
2017-05-04T22:03:29.770245,2017-06-08T06:01:09.000Z,0,False,False,False,1,5,5,2017-05-04T12:13:30.648Z,23.536,0.011768,True,False,1638963923,OPEN
2017-05-05T10:03:29.820491,2017-06-08T06:01:09.000Z,0,False,False,False,1,5,5,2017-05-04T12:13:30.648Z,23.604,153.43780199999998,True,False,1638963923,OPEN
2017-05-05T22:03:30.407536,2017-06-08T06:01:09.000Z,0,False,False,False,1,5,5,2017-05-04T12:13:30.648Z,23.607999999999997,35.423804,True,False,1638963923,OPEN
2017-05-06T10:03:29.340450,2017-06-08T06:01:09.000Z,0,False,False,False,1,5,5,2017-05-04T12:13:30.648Z,23.607999999999997,35.423804,True,False,1638963923,OPEN
